Date,Open,High,Low,Adj Close,Volume
2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,125.65862274169922,137564700
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,125.90434265136719,84000900
2021-05-06,127.88999938964844,129.75,127.12999725341797,127.51625061035156,78128300
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,128.19557189941406,78973300
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,124.88754272460938,88071200
2021-05-11,123.5,126.2699966430664,122.7699966430664,123.96209716796875,126142800
2021-05-12,123.4000015258789,124.63999938964844,122.25,120.87065124511719,112172300
2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,123.03661346435547,105861300
2021-05-14,126.25,127.88999938964844,125.8499984741211,125.47825622558594,81918000
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,124.3165054321289,74244600
2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,122.91847229003906,63342900
2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,122.76094818115234,92612000
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,125.34040069580078,76857100
2021-05-21,127.81999969482422,128.0,125.20999908447266,123.48951721191406,79295400
2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,125.13365936279297,63092900
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,124.93675994873047,72009500
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,124.88754272460938,56575900
2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,123.3418197631836,94625600
2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,122.68217468261719,71311100
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,122.35728454589844,67637100
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,123.12523651123047,59278900
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,121.62873840332031,76229200
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,123.94236755371094,75169300
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,123.95222473144531,71057600
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,124.77922058105469,74403800
2021-06-09,127.20999908447266,127.75,126.5199966430664,125.16320037841797,56877900
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,124.15899658203125,71186400
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,125.3797836303711,53522400
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,128.4613494873047,96906500
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,127.63433837890625,62746300
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,128.136474609375,91815000
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,129.7510986328125,96721700
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,128.44166564941406,108953300
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,130.2532196044922,79663300
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,131.90721130371094,74783600
2021-06-23,133.77000427246094,134.32000732421875,133.22999572753906,131.63157653808594,60214200
2021-06-24,134.4499969482422,134.63999938964844,132.92999267578125,131.34605407714844,68711000
2021-06-25,133.4600067138672,133.88999938964844,132.80999755859375,131.05067443847656,70783700
2021-06-28,133.41000366210938,135.25,133.35000610351562,132.69485473632812,62111300
2021-06-29,134.8000030517578,136.49000549316406,134.35000610351562,134.22085571289062,64556100
2021-06-30,136.1699981689453,137.41000366210938,135.8699951171875,134.84112548828125,63261400
2021-07-01,136.60000610351562,137.3300018310547,135.75999450683594,135.14633178710938,52485800
2021-07-02,137.89999389648438,140.0,137.75,137.7947235107422,78852600
2021-07-06,140.07000732421875,143.14999389648438,140.07000732421875,139.82284545898438,108181800
2021-07-07,143.5399932861328,144.88999938964844,142.66000366210938,142.3333740234375,104911600
2021-07-08,141.5800018310547,144.05999755859375,140.6699981689453,141.0239715576172,105575500
2021-07-09,142.75,145.64999389648438,142.64999389648438,142.86502075195312,99890800
2021-07-12,146.2100067138672,146.32000732421875,144.0,142.2644805908203,76299700
2021-07-13,144.02999877929688,147.4600067138672,143.6300048828125,143.38682556152344,100827100
2021-07-14,148.10000610351562,149.57000732421875,147.67999267578125,146.842529296875,127050800
2021-07-15,149.24000549316406,150.0,147.08999633789062,146.18289184570312,106820300
2021-07-16,148.4600067138672,149.75999450683594,145.8800048828125,144.12522888183594,93251400
2021-07-19,143.75,144.07000732421875,141.6699981689453,140.24618530273438,121434600
2021-07-20,143.4600067138672,147.10000610351562,142.9600067138672,143.88893127441406,96350000
2021-07-21,145.52999877929688,146.1300048828125,144.6300048828125,143.15054321289062,74993500
2021-07-22,145.94000244140625,148.1999969482422,145.80999755859375,144.52886962890625,77338200
2021-07-23,147.5500030517578,148.72000122070312,146.9199981689453,146.26165771484375,71447400
2021-07-26,148.27000427246094,149.8300018310547,147.6999969482422,146.6849822998047,72434100
2021-07-27,149.1199951171875,149.2100067138672,145.5500030517578,144.49935913085938,104818600
2021-07-28,144.80999755859375,146.97000122070312,142.5399932861328,142.73703002929688,118931200
2021-07-29,144.69000244140625,146.5500030517578,144.5800018310547,143.38682556152344,56699500
2021-07-30,144.3800048828125,146.3300018310547,144.11000061035156,143.60345458984375,70440600
2021-08-02,146.36000061035156,146.9499969482422,145.25,143.26869201660156,62880000
2021-08-03,145.80999755859375,148.0399932861328,145.17999267578125,145.08023071289062,64786600
2021-08-04,147.27000427246094,147.7899932861328,146.27999877929688,144.6765594482422,56368300
2021-08-05,146.97999572753906,147.83999633789062,146.1699981689453,144.7848663330078,46397700
2021-08-06,146.35000610351562,147.11000061035156,145.6300048828125,144.09466552734375,54126800
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,144.0453338623047,48908700
2021-08-10,146.44000244140625,147.7100067138672,145.3000030517578,143.5622100830078,69023100
2021-08-11,146.0500030517578,146.72000122070312,145.52999877929688,143.81857299804688,48493500
2021-08-12,146.19000244140625,149.0500030517578,145.83999633789062,146.80616760253906,72282600
2021-08-13,148.97000122070312,149.44000244140625,148.27000427246094,147.0132293701172,59375000
2021-08-16,148.5399932861328,151.19000244140625,146.47000122070312,149.00497436523438,103296000
2021-08-17,150.22999572753906,151.67999267578125,149.08999633789062,148.08798217773438,92229700
2021-08-18,149.8000030517578,150.72000122070312,146.14999389648438,144.3115997314453,86326000
2021-08-19,145.02999877929688,148.0,144.5,144.6468505859375,86960300
2021-08-20,147.44000244140625,148.5,146.77999877929688,146.115966796875,60549600
2021-08-23,148.30999755859375,150.19000244140625,147.88999938964844,147.61471557617188,60131800
2021-08-24,149.4499969482422,150.86000061035156,149.14999389648438,147.5259552001953,48606400
2021-08-25,149.80999755859375,150.32000732421875,147.8000030517578,146.28358459472656,58991300
2021-08-26,148.35000610351562,149.1199951171875,147.50999450683594,145.47503662109375,48597200
2021-08-27,147.47999572753906,148.75,146.8300018310547,146.52023315429688,55802400
2021-08-30,149.0,153.49000549316406,148.61000061035156,150.97695922851562,90956700
2021-08-31,152.66000366210938,152.8000030517578,151.2899932861328,149.7050323486328,86453100
2021-09-01,152.8300018310547,154.97999572753906,152.33999633789062,150.37550354003906,80313700
2021-09-02,153.8699951171875,154.72000122070312,152.39999389648438,151.49957275390625,71115500
2021-09-03,153.75999450683594,154.6300048828125,153.08999633789062,152.14044189453125,57808700
2021-09-07,154.97000122070312,157.25999450683594,154.38999938964844,154.4970245361328,82278300
2021-09-08,156.97999572753906,157.0399932861328,153.97999572753906,152.93910217285156,74420200
2021-09-09,155.49000549316406,156.11000061035156,153.9499969482422,151.9136962890625,57305700
2021-09-10,155.0,155.47999572753906,148.6999969482422,146.88502502441406,140893200
2021-09-13,150.6300048828125,151.4199981689453,148.75,147.45693969726562,102404300
2021-09-14,150.35000610351562,151.07000732421875,146.91000366210938,146.0469512939453,109296300
2021-09-15,148.55999755859375,149.44000244140625,146.3699951171875,146.9442138671875,83281300
2021-09-16,148.44000244140625,148.97000122070312,147.22000122070312,146.70755004882812,68034100
2021-09-17,148.82000732421875,148.82000732421875,145.75999450683594,144.01577758789062,129868800
